GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
Oahu_AES,1993,180.0
Oahu_Airport_DSG,2013,8.0
Oahu_Battery_Bulk,2020,3.761758035975215
Oahu_Battery_Bulk,2025,14.232638659289465
Oahu_Battery_Bulk,2030,359.10485804717223
Oahu_Battery_Bulk,2035,66.21165284037714
Oahu_Battery_Bulk,2040,195.17530264547605
Oahu_Battery_Bulk,2045,1141.3710888965365
Oahu_Battery_Conting,2020,129.45273706753508
Oahu_Battery_Conting,2025,0.0
Oahu_Battery_Conting,2030,0.0
Oahu_Battery_Conting,2035,90.0
Oahu_Battery_Conting,2040,0.0
Oahu_Battery_Conting,2045,0.0
Oahu_Battery_Reg,2020,76.47585795588857
Oahu_Battery_Reg,2025,54.855216903596286
Oahu_Battery_Reg,2030,205.95139109691866
Oahu_Battery_Reg,2035,149.97145687302333
Oahu_Battery_Reg,2040,134.66426045404722
Oahu_Battery_Reg,2045,589.6896888655351
Oahu_CC_152,2020,301.172
Oahu_CC_152,2025,0.0
Oahu_CC_152,2030,0.0
Oahu_CC_152,2035,0.0
Oahu_CC_152,2040,0.0
Oahu_CC_152,2045,0.0
Oahu_CIP_CT,2009,113.0
Oahu_CentralTrackingPV_PV_01_B_00_15,2020,0.0
Oahu_CentralTrackingPV_PV_01_B_00_15,2025,0.0
Oahu_CentralTrackingPV_PV_01_B_00_15,2030,0.0
Oahu_CentralTrackingPV_PV_01_B_00_15,2035,0.0
Oahu_CentralTrackingPV_PV_01_B_00_15,2040,0.0
Oahu_CentralTrackingPV_PV_01_B_00_15,2045,0.0
Oahu_CentralTrackingPV_PV_01_B_15_17,2020,0.0
Oahu_CentralTrackingPV_PV_01_B_15_17,2025,0.0
Oahu_CentralTrackingPV_PV_01_B_15_17,2030,0.0
Oahu_CentralTrackingPV_PV_01_B_15_17,2035,0.0
Oahu_CentralTrackingPV_PV_01_B_15_17,2040,0.0
Oahu_CentralTrackingPV_PV_01_B_15_17,2045,0.0
Oahu_CentralTrackingPV_PV_01_B_17_20,2020,0.0
Oahu_CentralTrackingPV_PV_01_B_17_20,2025,0.0
Oahu_CentralTrackingPV_PV_01_B_17_20,2030,0.0
Oahu_CentralTrackingPV_PV_01_B_17_20,2035,0.0
Oahu_CentralTrackingPV_PV_01_B_17_20,2040,0.0
Oahu_CentralTrackingPV_PV_01_B_17_20,2045,0.0
Oahu_CentralTrackingPV_PV_01_C_00_15,2020,0.0
Oahu_CentralTrackingPV_PV_01_C_00_15,2025,0.0
Oahu_CentralTrackingPV_PV_01_C_00_15,2030,0.0
Oahu_CentralTrackingPV_PV_01_C_00_15,2035,0.0
Oahu_CentralTrackingPV_PV_01_C_00_15,2040,0.0
Oahu_CentralTrackingPV_PV_01_C_00_15,2045,10.560505961729243
Oahu_CentralTrackingPV_PV_01_C_15_17,2020,0.0
Oahu_CentralTrackingPV_PV_01_C_15_17,2025,0.0
Oahu_CentralTrackingPV_PV_01_C_15_17,2030,0.0
Oahu_CentralTrackingPV_PV_01_C_15_17,2035,0.0
Oahu_CentralTrackingPV_PV_01_C_15_17,2040,0.0
Oahu_CentralTrackingPV_PV_01_C_15_17,2045,0.0
Oahu_CentralTrackingPV_PV_01_C_17_20,2020,0.0
Oahu_CentralTrackingPV_PV_01_C_17_20,2025,0.0
Oahu_CentralTrackingPV_PV_01_C_17_20,2030,0.0
Oahu_CentralTrackingPV_PV_01_C_17_20,2035,0.0
Oahu_CentralTrackingPV_PV_01_C_17_20,2040,0.0
Oahu_CentralTrackingPV_PV_01_C_17_20,2045,0.0
Oahu_CentralTrackingPV_PV_01_X_00_15,2017,27.6
Oahu_CentralTrackingPV_PV_01_X_00_15,2020,0.0
Oahu_CentralTrackingPV_PV_01_X_00_15,2025,0.0
Oahu_CentralTrackingPV_PV_01_X_00_15,2030,0.0
Oahu_CentralTrackingPV_PV_01_X_00_15,2035,0.0
Oahu_CentralTrackingPV_PV_01_X_00_15,2040,0.0
Oahu_CentralTrackingPV_PV_01_X_00_15,2045,198.1524182595965
Oahu_CentralTrackingPV_PV_01_X_15_17,2020,0.0
Oahu_CentralTrackingPV_PV_01_X_15_17,2025,0.0
Oahu_CentralTrackingPV_PV_01_X_15_17,2030,0.0
Oahu_CentralTrackingPV_PV_01_X_15_17,2035,0.0
Oahu_CentralTrackingPV_PV_01_X_15_17,2040,0.0
Oahu_CentralTrackingPV_PV_01_X_15_17,2045,0.0
Oahu_CentralTrackingPV_PV_01_X_17_20,2020,0.0
Oahu_CentralTrackingPV_PV_01_X_17_20,2025,0.0
Oahu_CentralTrackingPV_PV_01_X_17_20,2030,0.0
Oahu_CentralTrackingPV_PV_01_X_17_20,2035,0.0
Oahu_CentralTrackingPV_PV_01_X_17_20,2040,0.0
Oahu_CentralTrackingPV_PV_01_X_17_20,2045,0.0
Oahu_CentralTrackingPV_PV_02_B_00_15,2020,0.0
Oahu_CentralTrackingPV_PV_02_B_00_15,2025,0.0
Oahu_CentralTrackingPV_PV_02_B_00_15,2030,0.0
Oahu_CentralTrackingPV_PV_02_B_00_15,2035,0.0
Oahu_CentralTrackingPV_PV_02_B_00_15,2040,0.0
Oahu_CentralTrackingPV_PV_02_B_00_15,2045,0.0
Oahu_CentralTrackingPV_PV_02_B_15_17,2020,0.0
Oahu_CentralTrackingPV_PV_02_B_15_17,2025,0.0
Oahu_CentralTrackingPV_PV_02_B_15_17,2030,0.0
Oahu_CentralTrackingPV_PV_02_B_15_17,2035,0.0
Oahu_CentralTrackingPV_PV_02_B_15_17,2040,0.0
Oahu_CentralTrackingPV_PV_02_B_15_17,2045,0.0
