gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
AES,Oahu,multiple,2020,1484.817572873289,2969635.145746582,2461725.6681545842
AES,Oahu,multiple,2025,1444.0058980847439,2888011.7961694906,2398940.911335346
AES,Oahu,multiple,2030,1447.5557287943689,2895111.4575887416,2403135.1347478027
AES,Oahu,multiple,2035,1386.734416680779,2773468.833361561,2309448.1838666927
AES,Oahu,multiple,2040,1278.4605749125426,2556921.1498250873,2127871.9229440466
AES,Oahu,multiple,2045,321.39260044814984,642785.2008962997,0.0
Airport_DSG,Oahu,multiple,2020,0.0,0.0,0.0
Airport_DSG,Oahu,multiple,2025,0.0,0.0,0.0
Airport_DSG,Oahu,multiple,2030,0.0,0.0,0.0
Airport_DSG,Oahu,multiple,2035,0.0,0.0,0.0
Airport_DSG,Oahu,multiple,2040,0.0,0.0,0.0
Airport_DSG,Oahu,multiple,2045,0.0,0.0,0.0
Battery_4,Oahu,Battery,2020,62.26448034742756,0.0,0.0
Battery_4,Oahu,Battery,2025,184.1341491697526,0.0,0.0
Battery_4,Oahu,Battery,2030,136.0321610767375,0.0,0.0
Battery_4,Oahu,Battery,2035,80.4096723285969,0.0,0.0
Battery_4,Oahu,Battery,2040,0.0,0.0,0.0
Battery_4,Oahu,Battery,2045,0.0,0.0,0.0
Battery_6,Oahu,Battery,2020,0.0,0.0,0.0
Battery_6,Oahu,Battery,2025,87.58784703551024,0.0,0.0
Battery_6,Oahu,Battery,2030,291.70872023151884,0.0,0.0
Battery_6,Oahu,Battery,2035,853.1177298827411,0.0,0.0
Battery_6,Oahu,Battery,2040,1516.8973429873774,0.0,0.0
Battery_6,Oahu,Battery,2045,2914.531523038825,0.0,0.0
Battery_Conting,Oahu,Battery,2020,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2025,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2030,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2035,0.0,0.0,0.0
Battery_Conting,Oahu,Battery,2040,55.524153772323594,0.0,0.0
Battery_Conting,Oahu,Battery,2045,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2020,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2025,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2030,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2035,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2040,0.0,0.0,0.0
Battery_Reg,Oahu,Battery,2045,0.0,0.0,0.0
CC_152,Oahu,multiple,2020,906.7918795263521,4071495.5390733196,511041.50472051644
