ZONE_TIMEPOINTS_1,ZONE_TIMEPOINTS_2,InjectIntoDistributedGrid
Central,1,3.6999999999999953
Central,2,3.0000000000000013
Central,3,3.599999999999996
Central,4,3.299999999999999
Central,5,3.0000000000000013
Central,6,4.000000000000002
Central,7,4.599999999999997
North,1,5.000000000000003
North,2,4.000000000000002
North,3,4.499999999999997
North,4,4.2
North,5,4.000000000000002
North,6,6.000000000000003
North,7,6.000000000000003
South,1,6.000000000000003
South,2,7.0000000000000036
South,3,6.499999999999999
South,4,7.200000000000002
South,5,8.000000000000004
South,6,10.000000000000005
South,7,10.499999999999954
