gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
Biomass_IGCC,Central,BioSolid,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass_IGCC,Central,BioSolid,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass_IGCC,North,BioSolid,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass_IGCC,North,BioSolid,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass_IGCC,South,BioSolid,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass_IGCC,South,BioSolid,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass_IGCC_CCS,North,BioSolid,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass_IGCC_CCS,South,BioSolid,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central_PV,Central,Solar,2020,8.0322858,0.0,0.0,5.0,917295.8403480535,167400.0,135.04198771762498,0.18326050173990893
Central_PV,Central,Solar,2030,17.2672668,0.0,0.0,5.0,917295.8403480535,167400.0,62.81821104956485,0.39396
Central_PV,North,Solar,2020,3.865663835958752,0.0,0.0,2.246484665005071,515378.6646621087,94015.38323046222,157.64279403292466,0.19630002223329782
Central_PV,North,Solar,2030,7.053452661605964,0.0,0.0,2.246484665005071,515378.6646621087,94015.38323046222,86.39679679772068,0.3581762880171814
Central_PV,South,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central_PV,South,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_IGCC,Central,Coal,2020,78.89422976032321,383880.3873985902,59911.0157723133,11.1166636007799,2535747.500862853,257221.80906028565,40.267199603479774,0.8095999999999977
Coal_IGCC,Central,Coal,2030,78.89444576154364,383881.4384086885,59911.17980018407,11.1166636007799,2535747.500862853,257221.80906028565,40.2672129252411,0.8095999999999977
Coal_IGCC,North,Coal,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
