GEN_TPS_1,GEN_TPS_2,GenCapacityInTP
N-Geothermal,1,1.0
N-Geothermal,2,1.0
N-Geothermal,3,1.0
N-Geothermal,4,1.0
N-Geothermal,5,1.0
N-Geothermal,6,1.0
N-Geothermal,7,0.0
N-Coal_IGCC,1,0.0
N-Coal_IGCC,2,0.0
N-Coal_IGCC,3,0.0
N-Coal_IGCC,4,0.0
N-Coal_IGCC,5,0.0
N-Coal_IGCC,6,0.0
N-Coal_IGCC,7,0.0
N-Coal_IGCC_CCS,7,-4.36429983171956e-16
N-Coal_ST,1,2.0
N-Coal_ST,2,2.0
N-Coal_ST,3,2.0
N-Coal_ST,4,2.0
N-Coal_ST,5,2.0
N-Coal_ST,6,2.0
N-Coal_ST,7,2.0
N-NG_CC,1,2.0
N-NG_CC,2,2.0
N-NG_CC,3,2.0
N-NG_CC,4,2.0
N-NG_CC,5,2.0
N-NG_CC,6,2.0
N-NG_CC,7,0.0
N-NG_CC_CCS,7,0.0
N-NG_GT,1,2.0
N-NG_GT,2,2.0
N-NG_GT,3,2.0
N-NG_GT,4,2.0
N-NG_GT,5,2.0
N-NG_GT,6,2.0
N-NG_GT,7,0.0
N-Nuclear,7,0.0
N-Biomass_IGCC,1,0.0
N-Biomass_IGCC,2,0.0
N-Biomass_IGCC,3,0.0
N-Biomass_IGCC,4,0.0
N-Biomass_IGCC,5,0.0
N-Biomass_IGCC,6,0.0
N-Biomass_IGCC,7,0.0
N-Biomass_IGCC_CCS,7,0.0
N-Residential_PV,1,0.0
N-Residential_PV,2,0.0
N-Residential_PV,3,0.0
N-Residential_PV,4,0.0
N-Residential_PV,5,0.0
N-Residential_PV,6,0.0
N-Residential_PV,7,0.0
N-Commercial_PV,1,0.0
N-Commercial_PV,2,0.0
N-Commercial_PV,3,0.0
N-Commercial_PV,4,0.0
N-Commercial_PV,5,0.0
N-Commercial_PV,6,0.0
N-Commercial_PV,7,0.0
N-Central_PV-1,1,0.246484665005071
N-Central_PV-1,2,0.246484665005071
N-Central_PV-1,3,0.246484665005071
N-Central_PV-1,4,0.246484665005071
N-Central_PV-1,5,0.246484665005071
N-Central_PV-1,6,0.246484665005071
N-Central_PV-1,7,0.246484665005071
N-Central_PV-2,1,2.0
N-Central_PV-2,2,2.0
N-Central_PV-2,3,2.0
N-Central_PV-2,4,2.0
N-Central_PV-2,5,2.0
N-Central_PV-2,6,2.0
N-Central_PV-2,7,2.0
N-Wind-1,1,0.0
N-Wind-1,2,0.0
N-Wind-1,3,0.0
N-Wind-1,4,0.0
N-Wind-1,5,0.0
N-Wind-1,6,0.0
N-Wind-1,7,3.66513458021114
N-Wind-2,1,0.0
N-Wind-2,2,0.0
N-Wind-2,3,0.0
N-Wind-2,4,0.0
N-Wind-2,5,0.0
N-Wind-2,6,0.0
N-Wind-2,7,1.0
C-Coal_IGCC,1,11.1166636007799
C-Coal_IGCC,2,11.1166636007799
C-Coal_IGCC,3,11.1166636007799
C-Coal_IGCC,4,11.1166636007799
C-Coal_IGCC,5,11.1166636007799
C-Coal_IGCC,6,11.1166636007799
C-Coal_IGCC,7,11.1166636007799
C-Coal_ST,1,2.0
C-Coal_ST,2,2.0
C-Coal_ST,3,2.0
C-Coal_ST,4,2.0
C-Coal_ST,5,2.0
C-Coal_ST,6,2.0
C-NG_CC,1,2.0
C-NG_CC,2,2.0
C-NG_CC,3,2.0
C-NG_CC,4,2.0
C-NG_CC,5,2.0
C-NG_CC,6,2.0
C-NG_CC,7,0.0
C-NG_GT,1,2.0
C-NG_GT,2,2.0
C-NG_GT,3,2.0
C-NG_GT,4,2.0
C-NG_GT,5,2.0
C-NG_GT,6,2.0
C-NG_GT,7,0.0
C-Nuclear,7,0.0
C-Biomass_IGCC,1,0.0
C-Biomass_IGCC,2,0.0
C-Biomass_IGCC,3,0.0
C-Biomass_IGCC,4,0.0
C-Biomass_IGCC,5,0.0
C-Biomass_IGCC,6,0.0
C-Biomass_IGCC,7,0.0
C-Residential_PV,1,0.0
C-Residential_PV,2,0.0
C-Residential_PV,3,0.0
C-Residential_PV,4,0.0
C-Residential_PV,5,0.0
C-Residential_PV,6,0.0
C-Residential_PV,7,0.0
C-Commercial_PV,1,0.0
C-Commercial_PV,2,0.0
C-Commercial_PV,3,0.0
C-Commercial_PV,4,0.0
C-Commercial_PV,5,0.0
C-Commercial_PV,6,0.0
C-Commercial_PV,7,0.0
C-Central_PV-1,1,2.0
C-Central_PV-1,2,2.0
C-Central_PV-1,3,2.0
C-Central_PV-1,4,2.0
C-Central_PV-1,5,2.0
C-Central_PV-1,6,2.0
C-Central_PV-1,7,2.0
C-Central_PV-2,1,3.0
C-Central_PV-2,2,3.0
C-Central_PV-2,3,3.0
C-Central_PV-2,4,3.0
C-Central_PV-2,5,3.0
C-Central_PV-2,6,3.0
C-Central_PV-2,7,3.0
C-Wind-1,1,0.0
C-Wind-1,2,0.0
C-Wind-1,3,0.0
C-Wind-1,4,0.0
C-Wind-1,5,0.0
C-Wind-1,6,0.0
C-Wind-1,7,4.0
C-Wind-2,1,0.0
C-Wind-2,2,0.0
C-Wind-2,3,0.0
C-Wind-2,4,0.0
C-Wind-2,5,0.0
C-Wind-2,6,0.0
C-Wind-2,7,3.0
S-Geothermal,1,3.0
S-Geothermal,2,3.0
S-Geothermal,3,3.0
S-Geothermal,4,3.0
S-Geothermal,5,3.0
S-Geothermal,6,3.0
S-Geothermal,7,0.0
S-NG_CC,1,0.0
S-NG_CC,2,0.0
S-NG_CC,3,0.0
S-NG_CC,4,0.0
S-NG_CC,5,0.0
S-NG_CC,6,0.0
S-NG_CC,7,0.0
S-NG_CC_CCS,7,0.0
S-NG_GT,1,2.0
S-NG_GT,2,2.0
S-NG_GT,3,2.0
S-NG_GT,4,2.0
S-NG_GT,5,2.0
S-NG_GT,6,2.0
S-NG_GT,7,0.0
S-Biomass_IGCC,1,0.0
S-Biomass_IGCC,2,0.0
S-Biomass_IGCC,3,0.0
S-Biomass_IGCC,4,0.0
S-Biomass_IGCC,5,0.0
S-Biomass_IGCC,6,0.0
S-Biomass_IGCC,7,0.0
S-Biomass_IGCC_CCS,7,0.0
S-Residential_PV,1,0.0
S-Residential_PV,2,0.0
S-Residential_PV,3,0.0
S-Residential_PV,4,0.0
S-Residential_PV,5,0.0
S-Residential_PV,6,0.0
S-Residential_PV,7,0.0
S-Commercial_PV,1,0.0
S-Commercial_PV,2,0.0
S-Commercial_PV,3,0.0
S-Commercial_PV,4,0.0
S-Commercial_PV,5,0.0
S-Commercial_PV,6,0.0
S-Commercial_PV,7,0.0
S-Central_PV-1,1,0.0
S-Central_PV-1,2,0.0
S-Central_PV-1,3,0.0
S-Central_PV-1,4,0.0
S-Central_PV-1,5,0.0
S-Central_PV-1,6,0.0
S-Central_PV-1,7,0.0
S-Central_PV-2,1,0.0
S-Central_PV-2,2,0.0
S-Central_PV-2,3,0.0
S-Central_PV-2,4,0.0
S-Central_PV-2,5,0.0
S-Central_PV-2,6,0.0
S-Central_PV-2,7,0.0
