gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biomass_IGCC,Central,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,Central,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC,North,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,North,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC,South,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,South,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC_CCS,North,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC_CCS,South,BioSolid,2030,0.0,0.0,0.0
Central_PV,Central,Solar,2020,-2.904287757291255e-15,0.0,0.0
Central_PV,Central,Solar,2030,0.0,0.0,0.0
Central_PV,North,Solar,2020,0.0,0.0,0.0
Central_PV,North,Solar,2030,0.0,0.0,0.0
Central_PV,South,Solar,2020,-1.9989096913645508e-17,0.0,0.0
Central_PV,South,Solar,2030,0.0,0.0,0.0
Coal_IGCC,Central,Coal,2020,1.2087547908633909e-14,5.881510711191452e-11,9.179090481050064e-12
Coal_IGCC,Central,Coal,2030,0.0,0.0,0.0
Coal_IGCC,North,Coal,2020,-1.0218788482063706e-14,-6.215271530560788e-11,-7.759984472663466e-12
Coal_IGCC,North,Coal,2030,-1.3625101047409778e-14,-8.287058959055575e-11,-1.0346683733786228e-11
Coal_IGCC_CCS,North,Coal,2030,-5.082787019848458e-15,-5.010611444166609e-11,-7.559356697236348e-13
Coal_ST,Central,Coal,2020,14.832031392000001,53395.31301120001,13459.178566356484
Coal_ST,North,Coal,2020,14.832031392000001,50428.9067328,12750.800747074562
Coal_ST,North,Coal,2030,14.832072,50429.044799999996,12750.83565696
Commercial_PV,Central,Solar,2020,0.0,0.0,0.0
Commercial_PV,Central,Solar,2030,0.0,0.0,0.0
Commercial_PV,North,Solar,2020,0.0,0.0,0.0
Commercial_PV,North,Solar,2030,0.0,0.0,0.0
Commercial_PV,South,Solar,2020,1.6511888110733795e-15,0.0,0.0
Commercial_PV,South,Solar,2030,1.2169457340572535e-14,0.0,0.0
Geothermal,North,Geothermal,2020,8.490555608562001,244782.71819484245,0.0
Geothermal,North,Geothermal,2030,8.4905788545,244783.388375235,0.0
Geothermal,South,Geothermal,2020,25.471666825686,881217.7855014327,0.0
Geothermal,South,Geothermal,2030,25.4717365635,881220.1981508458,0.0
NG_CC,Central,NaturalGas,2020,18.897122349806395,51598.21463369937,6722.978196160269
NG_CC,Central,NaturalGas,2030,49.57986200437649,135376.8216057099,17638.893639669583
NG_CC,North,NaturalGas,2020,15.419350926220346,52627.786646282664,5485.700846773914
NG_CC,North,NaturalGas,2030,16.480079999999997,56248.161047999994,5863.073565384
NG_CC,South,NaturalGas,2020,39.52223278680608,161871.99926957738,14060.718048533468
NG_CC,South,NaturalGas,2030,0.0,0.0,0.0
NG_CC_CCS,North,NaturalGas,2030,0.0,0.0,0.0
NG_CC_CCS,South,NaturalGas,2030,0.0,0.0,0.0
NG_GT,Central,NaturalGas,2020,4.120019999999999,91652.316912,2271.339833868
NG_GT,Central,NaturalGas,2030,0.0,0.0,0.0
NG_GT,North,NaturalGas,2020,3.934216969585145,109398.77127325413,2168.9078495002836
NG_GT,North,NaturalGas,2030,0.0,0.0,0.0
NG_GT,South,NaturalGas,2020,3.0174705301900984,100688.16363959528,1663.5115879882933
NG_GT,South,NaturalGas,2030,0.0,0.0,0.0
Nuclear,Central,Uranium,2030,0.0,0.0,0.0
Nuclear,North,Uranium,2030,0.0,0.0,0.0
Residential_PV,Central,Solar,2020,3.4226601824661683e-16,0.0,0.0
Residential_PV,Central,Solar,2030,0.0,0.0,0.0
Residential_PV,North,Solar,2020,0.0,0.0,0.0
Residential_PV,North,Solar,2030,0.0,0.0,0.0
Residential_PV,South,Solar,2020,1.6009406067496501e-15,0.0,0.0
Residential_PV,South,Solar,2030,0.0,0.0,0.0
Wind,Central,Wind,2020,-2.17421825224624e-16,0.0,0.0
Wind,Central,Wind,2030,50.363475120000004,0.0,0.0
Wind,North,Wind,2020,-6.6791504145492705e-15,0.0,0.0
Wind,North,Wind,2030,35.46355428,0.0,0.0
