gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
AES,Oahu,multiple,2020,1416.144916324342,5004824.009386832,1483393.4379315833,180.0,28945169.02245778,13559854.833563756,33.54871900308196,0.8981132143102117,0.0,0.0
Airport_DSG,Oahu,multiple,2020,3.0927097661623106,50642.971573299925,0.0,8.0,262179.80871822074,62220.4997789953,121.2668851677927,0.04413113250802384,0.0,0.0
Airport_DSG,Oahu,multiple,2025,1.8395598349381017,30122.70257217061,0.0,8.0,262179.80871822074,62220.4997789953,192.7216523953491,0.026249426868408983,0.0,0.0
Airport_DSG,Oahu,multiple,2030,0.6506740027510316,10654.755058278684,0.0,8.0,262179.80871822074,62220.4997789953,514.9353779909619,0.009284731774415406,0.0,0.0
Airport_DSG,Oahu,multiple,2035,0.7872352132049518,12890.938218658164,0.0,8.0,262179.80871822074,62220.4997789953,428.45040600090954,0.011233379183860614,0.0,0.0
Airport_DSG,Oahu,multiple,2040,0.0,0.0,0.0,8.0,262179.80871822074,62220.4997789953,0.0,0.0,0.0,0.0
Airport_DSG,Oahu,multiple,2045,2.24121045392022,36699.71186740436,0.0,8.0,262179.80871822074,62220.4997789953,161.11830093108892,0.031980742778541946,0.0,0.0
Battery_Bulk,Oahu,Battery,2020,-0.026649481002463043,0.0,0.0,235.035987820359,7666281.323129418,8135285.763653854,65882.32154115796,0.00011649111280175705,0.26649481002463066,0.2398453290221676
Battery_Bulk,Oahu,Battery,2025,-1.7608079836907018,0.0,0.0,282.90648352914764,8744080.130894603,9279021.68036764,1137.2999705059221,0.00639451339447998,17.608079836907013,15.847271853216313
Battery_Bulk,Oahu,Battery,2030,-82.48077937174787,0.0,0.0,566.7945526385394,13946401.998132767,14799608.943034323,38.72418810799056,0.1495083648163379,824.807793717479,742.327014345731
Battery_Bulk,Oahu,Battery,2035,-100.69868599689764,0.0,0.0,677.7678844874358,12224536.073134523,12972403.449766459,27.802348355124025,0.15264452104372253,1006.9868599689765,906.288173972079
Battery_Bulk,Oahu,Battery,2040,-137.36751617747322,0.0,0.0,715.0313492854004,12511826.268778404,13277269.360649176,20.859772016510416,0.1973773736108527,1373.6751617747323,1236.3076455972591
Battery_Bulk,Oahu,Battery,2045,-273.931160883159,0.0,0.0,1032.2872722635857,16260100.469140988,17254853.857644033,13.594232222728344,0.27263353114670996,2739.311608831592,2465.3804479484324
