GENERATION_PROJECT,power_start_mw,power_end_mw,incremental_heat_rate_mbtu_per_mwhr,fuel_use_rate_mmbtu_per_h
Oahu_AES,67.0,.,.,1284.7
Oahu_AES,67.0,180.0,6.085247230924882,.
Oahu_Airport_DSG,8.0,.,.,81.64
Oahu_CC_152,71.162,.,.,569.8652960000001
Oahu_CC_152,71.162,87.949,5.446073449693209,.
Oahu_CC_152,87.949,113.972,5.797791991699651,.
Oahu_CC_152,113.972,116.985,6.660078991038862,.
Oahu_CC_152,116.985,150.586,7.149492574625755,.
Oahu_CIP_CT,45.0,.,.,714.5
Oahu_CIP_CT,45.0,113.0,8.915352941176472,.
Oahu_Hawaii_Cogen,12.2,.,.,57.81467464553345
Oahu_IC_Barge,5.023008000000001,.,.,53.664720719504444
Oahu_IC_Barge,5.023008000000001,16.786392,7.605125649260076,.
Oahu_IC_MCBH,2.7333144,.,.,30.88498314068558
Oahu_IC_MCBH,2.7333144,9.163860000000001,7.558068969966471,.
Oahu_IC_Schofield,2.7333144,.,.,30.88498314068558
Oahu_IC_Schofield,2.7333144,8.14,7.494881396649626,.
Oahu_Kahe_1,36.5,.,.,387.9
Oahu_Kahe_1,36.5,47.9,9.236999999999997,.
Oahu_Kahe_1,47.9,59.3,9.531000000000004,.
Oahu_Kahe_1,59.3,70.7,9.825000000000005,.
Oahu_Kahe_1,70.7,82.1,10.117999999999995,.
Oahu_Kahe_2,36.7,.,.,383.4
Oahu_Kahe_2,36.7,48.1,9.364999999999998,.
Oahu_Kahe_2,48.1,59.4,9.443999999999997,.
Oahu_Kahe_2,59.4,70.8,9.523999999999996,.
Oahu_Kahe_2,70.8,82.1,9.602999999999996,.
Oahu_Kahe_3,36.3,.,.,373.9
Oahu_Kahe_3,36.3,48.8,9.03,.
Oahu_Kahe_3,48.8,61.2,9.188000000000004,.
Oahu_Kahe_3,61.2,73.7,9.345,.
Oahu_Kahe_3,73.7,86.1,9.501999999999995,.
Oahu_Kahe_4,36.3,.,.,390.5
Oahu_Kahe_4,36.3,48.6,9.041,.
Oahu_Kahe_4,48.6,60.8,9.221000000000002,.
Oahu_Kahe_4,60.8,73.1,9.402,.
Oahu_Kahe_4,73.1,85.3,9.581999999999997,.
Oahu_Kahe_5,54.7,.,.,569.7
Oahu_Kahe_5,54.7,74.6,9.012000000000004,.
Oahu_Kahe_5,74.6,94.5,9.133,.
Oahu_Kahe_5,94.5,114.4,9.254000000000007,.
Oahu_Kahe_5,114.4,134.3,9.374999999999996,.
Oahu_Kahe_6,54.0,.,.,579.7
Oahu_Kahe_6,54.0,74.1,9.142000000000001,.
Oahu_Kahe_6,74.1,94.2,9.45,.
Oahu_Kahe_6,94.2,114.3,9.759000000000002,.
Oahu_Kahe_6,114.3,134.4,10.066999999999998,.
Oahu_Kalaeloa_CC1,67.0,.,.,637.3
Oahu_Kalaeloa_CC1,67.0,72.8,5.72499999999999,.
Oahu_Kalaeloa_CC1,72.8,78.5,5.831999999999993,.
Oahu_Kalaeloa_CC1,78.5,84.3,5.938999999999999,.
Oahu_Kalaeloa_CC1,84.3,90.0,6.046999999999994,.
Oahu_Kalaeloa_CC2,67.0,.,.,637.3
Oahu_Kalaeloa_CC2,67.0,72.8,5.72499999999999,.
Oahu_Kalaeloa_CC2,72.8,78.5,5.831999999999993,.
Oahu_Kalaeloa_CC2,78.5,84.3,5.938999999999999,.
Oahu_Kalaeloa_CC2,84.3,90.0,6.046999999999994,.
Oahu_Kalaeloa_CC3,0.0,.,.,0.1
Oahu_Kalaeloa_CC3,0.0,28.0,8.651,.
Oahu_Tesoro_Hawaii,20.0,.,.,92.84358120654943
Oahu_Waiau_10,5.9,.,.,234.7
Oahu_Waiau_10,5.9,16.9,7.904000000000003,.
Oahu_Waiau_10,16.9,27.9,8.529000000000002,.
Oahu_Waiau_10,27.9,38.9,9.155,.
Oahu_Waiau_10,38.9,49.9,9.780000000000003,.
Oahu_Waiau_3,22.3,.,.,295.5
Oahu_Waiau_3,22.3,28.4,9.115,.
Oahu_Waiau_3,28.4,34.5,10.15,.
Oahu_Waiau_3,34.5,40.5,11.185000000000002,.
Oahu_Waiau_3,40.5,46.6,12.219999999999994,.
Oahu_Waiau_4,22.3,.,.,272.3
Oahu_Waiau_4,22.3,28.4,10.903999999999998,.
Oahu_Waiau_4,28.4,34.5,11.292000000000003,.
Oahu_Waiau_4,34.5,40.5,11.679999999999998,.
Oahu_Waiau_4,40.5,46.6,12.067999999999998,.
Oahu_Waiau_5,22.5,.,.,273.7
Oahu_Waiau_5,22.5,30.5,10.363999999999997,.
Oahu_Waiau_5,30.5,38.5,10.840000000000003,.
Oahu_Waiau_5,38.5,46.5,11.316000000000003,.
Oahu_Waiau_5,46.5,54.5,11.790999999999997,.
Oahu_Waiau_6,22.5,.,.,276.2
Oahu_Waiau_6,22.5,30.3,10.399000000000003,.
Oahu_Waiau_6,30.3,38.0,10.893000000000002,.
Oahu_Waiau_6,38.0,45.8,11.387999999999995,.
Oahu_Waiau_6,45.8,53.5,11.881999999999996,.
Oahu_Waiau_7,27.0,.,.,316.0
Oahu_Waiau_7,27.0,41.0,9.246999999999998,.
Oahu_Waiau_7,41.0,55.0,9.793999999999999,.
Oahu_Waiau_7,55.0,68.9,10.339999999999996,.
Oahu_Waiau_7,68.9,82.9,10.887,.
Oahu_Waiau_8,27.0,.,.,314.1
Oahu_Waiau_8,27.0,41.8,8.971000000000002,.
Oahu_Waiau_8,41.8,56.6,9.358,.
Oahu_Waiau_8,56.6,71.3,9.745999999999997,.
Oahu_Waiau_8,71.3,86.1,10.133000000000001,.
Oahu_Waiau_9,5.9,.,.,245.3
Oahu_Waiau_9,5.9,17.7,8.514,.
Oahu_Waiau_9,17.7,29.4,9.198999999999998,.
Oahu_Waiau_9,29.4,41.2,9.882999999999996,.
Oahu_Waiau_9,41.2,52.9,10.568,.
